event_id,title,description,long_description,city,region,venue,start_date,end_date,tags
67885671,Auberge de jeunesse HI Marseille Bois Luzy (FUAJ),Auberge de jeunesse,"<p>Située dans un quartier calme et boisé, bâti sur une colline dans un château du style Second Empire, l'auberge de jeunesse Marseille Bois-Luzy saura séduire les voyageurs les plus sportifs grâce aux différents plateaux de handball, football, volley-ball ou encore tennis situés à proximité. Les amoureux de la nature sauront, quant-à-eux, apprécier le parc public qui entoure l'auberge de jeunesse et la vue époustouflante sur la rade de Marseille.</p>",Marseille,Provence-Alpes-Côte d'Azur,AUBERGE DE JEUNESSE HI MARSEILLE BOIS LUZY (FUAJ),2032-01-01T01:00:00+00:00,2032-01-01T03:00:00+00:00,
56044256,EAU - Congrès International ICID,Eau et résilience de l’agriculture face au défi climatique,"<p><strong>Le 26e Congrès International de la CIID ainsi que la 77e Réunion du Comité Exécutif International, se tiendront du 12 au 17 octobre 2026 à Marseille.</strong><br>Le thème principal du Congrès sera :<br><strong>« EAU ET RÉSILIENCE DE L’AGRICULTURE FACE AU CHANGEMENT CLIMATIQUE »</strong><br>Décliné en plusieurs problématiques et structuré autour de différentes sessions. Il est important de rappeler que près des deux tiers des terres agricoles dans le monde dépendent de l’eau de pluie, ce qui fait du climat le facteur principal influençant la productivité des cultures. Le changement climatique représente donc une contrainte majeure, impactant l’agriculture à la fois directement et indirectement.<br>C’est pourquoi faire face à cette crise climatique exige des changements radicaux et une restructuration profonde de nos systèmes agricoles traditionnels. Il ne fait aucun doute que garantir la sécurité en eau et en alimentation passera par une agriculture irriguée moderne et innovante.<br>Dès lors, nous devons nous poser la question suivante : comment l’irrigation moderne et une bonne gestion des systèmes de drainage peuvent-elles contribuer à cette transition agroécologique ?<br>Toutes les informations sur le site :<br><a href=""https://icidcongress2026.org/fr/"">https://icidcongress2026.org/fr/</a><br><strong>Programme</strong><br><a href=""https://icidcongress2026.org/fr/programme/"">https://icidcongress2026.org/fr/programme/</a></p>",Marseille,Provence-Alpes-Côte d'Azur,"Palais des congrès, Chanot - Marseille (13)",2026-10-12T08:00:00+00:00,2026-10-12T16:30:00+00:00,
57024275,Réunion EXPERT COMPTABLE,Vous êtes en projet de création d'entreprise ou avez déjà créé votre entreprise.,"<p>Vous êtes en projet de création d'entreprise ou avez déjà créé votre entreprise. Vous avez besoin de sécuriser votre projet sur le plan financier? c'est désormais possible dans votre agence France Travail. Venez partager un moment exclusif d'échange avec un expert-comptable et avoir toutes les explications sur le fonctionnement, avantages et inconvénients des différents statuts juridiques. Obtenez toutes les réponses à vos questions en une matinée !</p> <p>Atelier animé par un expert-comptable et un c</p>",Marseille,Provence-Alpes-Côte d'Azur,Agence MARSEILLE MOUREPIANE,2026-06-29T08:30:00+00:00,2026-06-29T11:00:00+00:00,
48077645,Rendez-vous avez POSITIV (Accompagnement à la création d'entreprise),Rencontre individuelle avec Cynthia OUZAHRIR Conseillère Entrepreneuriat à POSITIV . Demande de conseils ou d'accompagnement dans le cadre d'un projet de création d'une entreprise.,"<p>Rencontre individuelle avec Cynthia OUZAHRIR Conseillère Entrepreneuriat à POSITIV . Demande de conseils ou d'accompagnement dans le cadre d'un projet de création d'une entreprise.</p> <p>Depuis sa création, la mission de Positiv est de défendre l'idée que le travail, salarié comme entrepreneurial, est l'étape nécessaire et préalable pour s'insérer socialement, économiquement et durablement dans la société. La mission de l'association est d'accompagner les personnes éloignées de l'emploi, quels que so</p>",Marseille,Provence-Alpes-Côte d'Azur,Agence MARSEILLE SAINT CHARLES,2026-06-24T14:30:00+00:00,2026-06-24T15:15:00+00:00,
23317076,Rendez-vous avez POSITIV (Accompagnement à la création d'entreprise),Rencontre individuelle avec Cynthia OUZAHRIR Conseillère Entrepreneuriat à POSITIV . Demande de conseils ou d'accompagnement dans le cadre d'un projet de création d'une entreprise.,"<p>Rencontre individuelle avec Cynthia OUZAHRIR Conseillère Entrepreneuriat à POSITIV . Demande de conseils ou d'accompagnement dans le cadre d'un projet de création d'une entreprise.</p> <p>Depuis sa création, la mission de Positiv est de défendre l'idée que le travail, salarié comme entrepreneurial, est l'étape nécessaire et préalable pour s'insérer socialement, économiquement et durablement dans la société. La mission de l'association est d'accompagner les personnes éloignées de l'emploi, quels que so</p>",Marseille,Provence-Alpes-Côte d'Azur,Agence MARSEILLE SAINT CHARLES,2026-06-24T13:45:00+00:00,2026-06-24T14:30:00+00:00,
91909186,Rendez-vous avez POSITIV (Accompagnement à la création d'entreprise),Rencontre individuelle avec Cynthia OUZAHRIR Conseillère Entrepreneuriat à POSITIV . Demande de conseils ou d'accompagnement dans le cadre d'un projet de création d'une entreprise.,"<p>Rencontre individuelle avec Cynthia OUZAHRIR Conseillère Entrepreneuriat à POSITIV . Demande de conseils ou d'accompagnement dans le cadre d'un projet de création d'une entreprise.</p> <p>Depuis sa création, la mission de Positiv est de défendre l'idée que le travail, salarié comme entrepreneurial, est l'étape nécessaire et préalable pour s'insérer socialement, économiquement et durablement dans la société. La mission de l'association est d'accompagner les personnes éloignées de l'emploi, quels que so</p>",Marseille,Provence-Alpes-Côte d'Azur,Agence MARSEILLE SAINT CHARLES,2026-06-24T13:00:00+00:00,2026-06-24T13:45:00+00:00,
85153424,Automatiser les tâches répétitives avec des agents IA : cas d’usage pour les petites entreprises,Les tâches répétitives vous font perdre du temps ? L’IA peut les prendre en charge pour vous !,"<p>Plongez dans le monde des agents intelligents et découvrez comment automatiser vos processus pour gagner en efficacité.</p> <p>Dans cet atelier, vous apprendrez :<br>Ce que sont les agents IA et comment ils fonctionnent<br>Des scénarios simples et concrets adaptés aux petites entreprises<br>Comment intégrer ces solutions pour simplifier votre quotidien</p>",Marseille,Provence-Alpes-Côte d'Azur,Webinaire,2026-06-22T08:00:00+00:00,2026-06-22T09:00:00+00:00,
97979052,13 - Préférence Provence revient à Marseille du 19 au 21 juin 2026 !,La fête de l’agriculture et l’artisanat au cœur de Marseille,"<h3>Après le succès de sa première édition en 2025, la Métropole et le Département renouvellent ce grand rendez‑vous dédié à l’identité provençale, à l’agriculture et à l’artisanat. Organisé à l’Hôtel du Département, le salon avait rassemblé plusieurs milliers de visiteurs dans une ambiance conviviale et familiale.</h3> <p>La Chambre d’Agriculture des Bouches‑du‑Rhône invite les agriculteurs et artisans du territoire à participer à cette nouvelle édition et à valoriser leur savoir‑faire auprès d’un large public grâce à un dispositif de communication renforcé.<br><strong>Dates et horaires :</strong></p> <ul> <li>Vendredi 19 juin : 10h–18h</li> <li>Samedi 20 juin : 10h–22h</li> <li>Dimanche 21 juin : 10h–18h</li> </ul> <p><strong>Modalités d’inscription :</strong></p> <ul> <li>Tarif unique exposant : 90 € pour les 3 jours</li> <li>Chèque de caution : 300 €, restitué en fin d’événement</li> </ul> <p>Mise à disposition : table 2 m + 2 chaises (4 m linéaires pour producteurs de fruits et légumes)<br>Stands restauration/boissons installés en extérieur sous tente 3×3 m ; autres exposants dans l’Atrium<br>Prise électrique sur demande</p> <h3>Les candidatures sont à envoyer avant le 4 mars 2026.</h3> <p>L’organisation procédera à une sélection si nécessaire.<br><strong>Vos Contacts à la Chambre d'agriculture 13 :</strong></p> <ul> <li>Lauriane Chambon : 07 86 84 27 73 / <a href=""mailto:l.chambon@bouches-du-rhone.chambagri.fr"">l.chambon@bouches-du-rhone.chambagri.fr</a></li> <li>Adeline Visconti 06 33 11 55 37 / <a href=""mailto:a.visconti@bouches-du-rhone.chambagri.fr"">a.visconti@bouches-du-rhone.chambagri.fr</a></li> </ul>",Marseille,Provence-Alpes-Côte d'Azur,"Hôtel du Département des Bouches-du-Rhône, Marseille (13)",2026-06-19T08:00:00+00:00,2026-06-19T16:00:00+00:00,
14096267,Découvrez un outil permettant de développer vos compétences vis à vis de l'IA (réservé PACA),"En vue de vous aider à développer vos compétences et optimiser votre recherche d'emploi, nous vous présentons notre dernier outil dédié à l'intelligence artificielle générative : le Calendrier de l'IA","<p>En vue de vous aider à développer vos compétences et optimiser votre recherche d'emploi, nous vous présentons notre dernier outil dédié à l'intelligence artificielle générative : le Calendrier de l'IA. 100% gratuit, celui-ci est fait pour vous !!! Accessible et ludique, ce calendrier vous permet d'acquérir des compétences de manière interactive et adaptée à vos besoins. Avec ce calendrier, vous pourrez : -utiliser des IA génératives pour diverses tâches quotidiennes, -apprendre à formuler des pr</p>",Marseille,Provence-Alpes-Côte d'Azur,Marseille - DR PROVENCE ALPES COTE D'AZUR,2026-06-18T13:00:00+00:00,2026-06-18T13:30:00+00:00,
37174401,Avec l'ADIE je finance mon projet d'entreprise *** réservé BLANCARDE***,Présentation de l'ADIE et ces dispositifs de micro crédit,<p>Présentation de l'ADIE et ces dispositifs de micro crédit</p>,Marseille,Provence-Alpes-Côte d'Azur,Marseille - Agence BLANCARDE,2026-06-18T10:00:00+00:00,2026-06-18T10:30:00+00:00,
