2026-03-25 17:09:25,535 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 17:09:25,535 | INFO | rag_pipeline | 🚀 Démarrage pipeline collecte d'événements
2026-03-25 17:09:25,535 | INFO | rag_pipeline | 
 Collecte des événements depuis OpenAgenda...
2026-03-25 17:09:26,633 | INFO | rag_pipeline | ✅ 100 événements collectés
2026-03-25 17:09:26,633 | INFO | rag_pipeline | ✅ DataFrame créée (100 événements)
2026-03-25 17:09:26,648 | INFO | rag_pipeline | 💾 Dataset sauvegardé dans ..\data\events_clean.csv
2026-03-25 17:09:26,648 | INFO | rag_pipeline | 📝 Génération des fichiers Markdown...
2026-03-25 17:09:26,690 | INFO | rag_pipeline | ✅ 100 fichiers Markdown générés dans ..\data\docs_md
2026-03-25 17:09:26,690 | INFO | rag_pipeline | 
🎯 Pipeline terminé avec succès
2026-03-25 17:11:35,775 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 17:11:35,805 | INFO | rag_pipeline | 🚀 Démarrage pipeline RAG indexing
2026-03-25 17:11:35,859 | INFO | rag_pipeline | ✅ 100 événements chargés
2026-03-25 17:11:35,885 | INFO | rag_pipeline | ✅ 305 chunks générés
2026-03-25 17:11:36,933 | INFO | rag_pipeline | ✅ Batch 1 OK (20)
2026-03-25 17:11:37,875 | INFO | rag_pipeline | ✅ Batch 2 OK (20)
2026-03-25 17:11:38,793 | INFO | rag_pipeline | ✅ Batch 3 OK (20)
2026-03-25 17:11:39,403 | INFO | rag_pipeline | ✅ Batch 4 OK (20)
2026-03-25 17:11:40,059 | INFO | rag_pipeline | ✅ Batch 5 OK (20)
2026-03-25 17:11:40,873 | INFO | rag_pipeline | ✅ Batch 6 OK (20)
2026-03-25 17:11:41,601 | INFO | rag_pipeline | ✅ Batch 7 OK (20)
2026-03-25 17:11:42,401 | INFO | rag_pipeline | ✅ Batch 8 OK (20)
2026-03-25 17:11:43,478 | INFO | rag_pipeline | ✅ Batch 9 OK (20)
2026-03-25 17:11:44,142 | INFO | rag_pipeline | ✅ Batch 10 OK (20)
2026-03-25 17:11:44,749 | INFO | rag_pipeline | ✅ Batch 11 OK (20)
2026-03-25 17:11:45,384 | INFO | rag_pipeline | ✅ Batch 12 OK (20)
2026-03-25 17:11:46,003 | INFO | rag_pipeline | ✅ Batch 13 OK (20)
2026-03-25 17:11:46,629 | INFO | rag_pipeline | ✅ Batch 14 OK (20)
2026-03-25 17:11:47,249 | INFO | rag_pipeline | ✅ Batch 15 OK (20)
2026-03-25 17:11:50,368 | INFO | rag_pipeline | ✅ Batch 16 OK (5)
2026-03-25 17:11:50,368 | INFO | rag_pipeline | 🎯 305 embeddings générés
2026-03-25 17:11:50,399 | INFO | rag_pipeline | 💾 Embeddings sauvegardés : ..\vector_store\events_embeddings.pkl
2026-03-25 17:11:50,399 | INFO | rag_pipeline | 📂 Construction index FAISS...
2026-03-25 17:11:50,408 | INFO | rag_pipeline | ✅ FAISS index créé (305 vecteurs)
2026-03-25 17:11:50,420 | INFO | rag_pipeline | 💾 Index FAISS sauvegardé
2026-03-25 17:11:50,425 | INFO | rag_pipeline | 
🎯 Pipeline terminé avec succès
2026-03-25 17:14:30,926 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 17:14:31,069 | INFO | rag_pipeline | ✅ Index FAISS chargé (305 vecteurs)
2026-03-25 17:24:00,113 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 17:24:00,113 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 17:24:19,704 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 17:24:19,704 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 17:24:41,138 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 17:24:41,138 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 17:25:42,075 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 17:25:56,833 | INFO | rag_pipeline | 
 Collecte des événements depuis OpenAgenda...
2026-03-25 17:25:56,833 | INFO | rag_pipeline | ✅ 2 événements collectés
2026-03-25 17:25:56,844 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 17:25:56,862 | INFO | rag_pipeline | 💾 Dataset sauvegardé dans C:\Users\DTYN0763\AppData\Local\Temp\pytest-of-DTYN0763\pytest-7\test_save_dataset0\test_events.csv
2026-03-25 17:25:56,922 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 17:25:56,958 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 17:25:56,982 | INFO | rag_pipeline | Top 1 documents récupérés
2026-03-25 17:25:57,071 | INFO | rag_pipeline | ✅ 1 événements chargés
2026-03-25 17:25:57,079 | INFO | rag_pipeline | ✅ 2 chunks générés
2026-03-25 17:25:57,087 | INFO | rag_pipeline | ✅ Batch 1 OK (1)
2026-03-25 17:25:57,087 | INFO | rag_pipeline | 🎯 1 embeddings générés
2026-03-25 17:25:57,092 | INFO | rag_pipeline | ✅ FAISS index créé (2 vecteurs)
2026-03-25 17:25:57,092 | INFO | rag_pipeline | 💾 Index FAISS sauvegardé
2026-03-25 17:58:44,621 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 18:00:47,137 | INFO | rag_pipeline | 
 Collecte des événements depuis OpenAgenda...
2026-03-25 18:00:47,137 | INFO | rag_pipeline | ✅ 2 événements collectés
2026-03-25 18:00:47,156 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 18:00:47,168 | INFO | rag_pipeline | 💾 Dataset sauvegardé dans C:\Users\DTYN0763\AppData\Local\Temp\pytest-of-DTYN0763\pytest-8\test_save_dataset0\test_events.csv
2026-03-25 18:00:47,200 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 18:00:47,200 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 18:00:47,226 | INFO | rag_pipeline | Top 1 documents récupérés
2026-03-25 18:00:47,244 | INFO | rag_pipeline | 1 documents après déduplication
2026-03-25 18:00:47,288 | INFO | rag_pipeline | ✅ 1 événements chargés
2026-03-25 18:00:47,297 | INFO | rag_pipeline | ✅ 2 chunks générés
2026-03-25 18:00:47,303 | INFO | rag_pipeline | ✅ Batch 1 OK (1)
2026-03-25 18:00:47,303 | INFO | rag_pipeline | 🎯 1 embeddings générés
2026-03-25 18:00:47,312 | INFO | rag_pipeline | ✅ FAISS index créé (2 vecteurs)
2026-03-25 18:00:47,316 | INFO | rag_pipeline | 💾 Index FAISS sauvegardé
2026-03-25 18:03:08,230 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 18:03:33,090 | INFO | rag_pipeline | 
 Collecte des événements depuis OpenAgenda...
2026-03-25 18:03:33,091 | INFO | rag_pipeline | ✅ 2 événements collectés
2026-03-25 18:03:33,100 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 18:03:33,118 | INFO | rag_pipeline | 💾 Dataset sauvegardé dans C:\Users\DTYN0763\AppData\Local\Temp\pytest-of-DTYN0763\pytest-9\test_save_dataset0\test_events.csv
2026-03-25 18:03:33,130 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 18:03:33,139 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 18:03:33,161 | INFO | rag_pipeline | Top 1 documents récupérés
2026-03-25 18:03:33,165 | INFO | rag_pipeline | 1 documents après déduplication
2026-03-25 18:03:33,180 | INFO | rag_pipeline | ✅ 1 événements chargés
2026-03-25 18:03:33,185 | INFO | rag_pipeline | ✅ 2 chunks générés
2026-03-25 18:03:33,191 | INFO | rag_pipeline | ✅ Batch 1 OK (1)
2026-03-25 18:03:33,192 | INFO | rag_pipeline | 🎯 1 embeddings générés
2026-03-25 18:03:33,198 | INFO | rag_pipeline | ✅ FAISS index créé (2 vecteurs)
2026-03-25 18:03:33,202 | INFO | rag_pipeline | 💾 Index FAISS sauvegardé
2026-03-25 18:07:20,292 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 18:07:34,152 | INFO | rag_pipeline | 
 Collecte des événements depuis OpenAgenda...
2026-03-25 18:07:34,152 | INFO | rag_pipeline | ✅ 2 événements collectés
2026-03-25 18:07:34,169 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 18:07:34,194 | INFO | rag_pipeline | 💾 Dataset sauvegardé dans C:\Users\DTYN0763\AppData\Local\Temp\pytest-of-DTYN0763\pytest-10\test_save_dataset0\test_events.csv
2026-03-25 18:07:34,209 | INFO | rag_pipeline | ✅ DataFrame créée (2 événements)
2026-03-25 18:07:34,216 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 18:07:34,243 | INFO | rag_pipeline | Top 1 documents récupérés
2026-03-25 18:07:34,250 | INFO | rag_pipeline | 1 documents après déduplication
2026-03-25 18:07:34,262 | INFO | rag_pipeline | ✅ 1 événements chargés
2026-03-25 18:07:34,262 | INFO | rag_pipeline | ✅ 2 chunks générés
2026-03-25 18:07:34,262 | INFO | rag_pipeline | ✅ Batch 1 OK (1)
2026-03-25 18:07:34,262 | INFO | rag_pipeline | 🎯 1 embeddings générés
2026-03-25 18:07:34,278 | INFO | rag_pipeline | ✅ FAISS index créé (2 vecteurs)
2026-03-25 18:07:34,278 | INFO | rag_pipeline | 💾 Index FAISS sauvegardé
2026-03-25 18:59:41,938 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 18:59:42,218 | INFO | rag_pipeline | ✅ Index FAISS chargé (305 vecteurs)
2026-03-25 18:59:54,332 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 18:59:54,333 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:44:19,164 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 19:44:19,300 | INFO | rag_pipeline | ✅ Dataset chargé : 19 questions
